1,\blue
2,a&amp;e
3,a&c
4,a&e
5,a&e-type
6,a&ntilde
7,a**-whuppery
8,a-b-c
9,a-bomb
10,a-bombed
11,a-c
12,a-changed
13,a-changing
14,a-class
15,a-cup
16,a-day-in-life-of
17,a-dvd
18,a-extra
19,a-few-loose-screws-in-the-attic
20,a-game
21,a-grade
22,a-h-h-h-h
23,a-ha
24,a-he
25,a-hero-was-born
26,a-historical
27,a-hole
28,a-holish
29,a-humanist
30,a-ko
31,a-la
32,a-level
33,a-like
34,a-line
35,a-list
36,a-listed
37,a-lit
38,a-long
39,a-man-no-one-will-believe
40,a-moral
41,a-movie
42,a-nother
43,a-ok
44,a-okay
45,a-one
46,a-plus
47,a-r
48,a-rab
49,a-rate
50,a-rated
51,a-social
52,a-special
53,a-team
54,a-team-esque
55,a-thousand-times-seen
56,a-tier
57,a-tonal
58,a-type
59,a-typical
60,a-z
61,a`la
62,aa
63,aaa
64,aaaa
65,aaaaa
66,aaaaaaawwww
67,aaaaaannnnnnddddddd
68,aaaaarmy
69,aaaalll
70,aaahhhhhhh
71,aaalll
72,aaaoogaa
73,aaarrrrgh
74,aaawwwww
75,aaawwwwwww
76,aack
77,aacsrunning
78,aacute
79,aahh
80,aahhhhh
81,aalcoholic
82,aaleyah
83,aaliyah
84,aaml
85,aardman
86,aargh
87,aarhus
88,aarp
89,aasif
90,aaxcelent
91,ab
92,ab&uuml;t
93,ab-fab
94,ab-normal
95,aba
96,abad
97,abandond
98,abandonded
99,abandoned
100,abandonned
101,abanonded
102,abated
103,abattoir
104,abaut
105,abba-hit
106,abba-inspired
107,abbandoned
108,abberant
109,abberrant
110,abbott
111,abbreviate
112,abbreviated
113,abbrieviated
114,abbriviated
115,abbrupt
116,abby
117,abbysmal
118,abc
119,abc-after-school-special
120,abcd
121,abdellatif
122,abdominal
123,abducted
124,abdul
125,abe-sapian
126,abeautiful
127,abeit
128,abercrombie-like
129,aberrant
130,abetted
131,abfab
132,abherrent
133,abhor
134,abhorent
135,abhorrable
136,abhorred
137,abhorrent
138,abiding
139,abig
140,abigail
141,abiltiy
142,abilty
143,abismal
144,abit
145,abitrobotic
146,abivalent
147,abject
148,ablack
149,able
150,able-bodied
151,abled
152,ablein
153,abler
154,ablest
155,ableto
156,ablue
157,abnegate
158,abnormal
159,abnormal-looking
160,abnoxious
161,abolitionist
162,abolute
163,abomidable
164,abominable
